S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme
1,Ministry of Development of North Eastern Region,Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India,Software,SIH25001,0,MedTech / BioTech / HealthTech
2,Ministry of Development of North Eastern Region,"Smart Tourist Safety Monitoring & Incident Response System using Al, Geo-Fencing, and Blockchain-based Digital ID",Software,SIH25002,0,Travel & Tourism
3,Ministry of Development of North Eastern Region,Low-Cost smart transportation solution for Agri produce from remote farms to nearest motorable road in NER Region,Hardware,SIH25003,0,Transportation & Logistics
4,"Ministry of Fisheries, Animal Husbandry & Dairying",lmage based breed recognition for cattle and buffaloes of India,Software,SIH25004,0,"Agriculture, FoodTech & Rural Development"
5,"Ministry of Fisheries, Animal Husbandry & Dairying",lmage based Animal Type Classification for cattle and buffaloes,Software,SIH25005,0,"Agriculture, FoodTech & Rural Development"
6,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for lmplementing Biosecurity ileasures in Pig and Poultry Farms,Software,SIH25006,0,"Agriculture, FoodTech & Rural Development"
7,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for Monitoring aximum Residue Limits (MRL) and Antimicrobial Usage (AMU) in Livestock,Software,SIH25007,0,"Agriculture, FoodTech & Rural Development"
8,Government of Punjab,Disaster Preparedness and Response Education System for Schools and Colleges,Software,SIH25008,0,Disaster Management
9,Government of Punjab,Gamified Environmental Education Platform for Schools and Colleges,Software,SIH25009,0,Smart Education
10,Government of Punjab,Smart Crop Advisory System for Small and Marginal Farmers,Software,SIH25010,0,"Agriculture, FoodTech & Rural Development"
11,Government of Punjab,Smart Curriculum Activity & Attendance App,Software,SIH25011,0,Smart Education
12,Government of Punjab,Automated Attendance System for Rural Schools,Software,SIH25012,0,Smart Education
13,Government of Punjab,Real-Time Public Transport Tracking for Small Cities,Software,SIH25013,0,Transportation & Logistics
14,Government of Punjab,Waste Segregation Monitoring System for Urban Local Bodies,Hardware,SIH25014,0,Clean & Green Technology
15,Government of Punjab,Intelligent Pesticide Sprinkling System Determined by the Infection Level of a Plant,Hardware,SIH25015,0,"Agriculture, FoodTech & Rural Development"
16,Government of Punjab,Automated Student Attendance Monitoring and Analytics System for Colleges,Software,SIH25016,0,Smart Education
17,Government of Punjab,Digital Platform for Centralized Alumni Data Management and Engagement,Software,SIH25017,0,Smart Education
18,Government of Punjab,Telemedicine Access for Rural Healthcare in Nabha,Software,SIH25018,0,MedTech / BioTech / HealthTech
19,Government of Punjab,Digital Learning Platform for Rural School Students in Nabha,Software,SIH25019,0,Smart Education
20,Ministry of Railways,Development of indigenous contactless Integrated Track Monitoring Systems (ITMS) for Track Recording on Indian Railways,Hardware,SIH25020,0,Smart Automation
21,Ministry of Railways,AI based development of Laser based QR Code marking on 'track fittings on Indian Railways'.,Hardware,SIH25021,0,Transportation & Logistics
22,Ministry of Railways,Maximizing Section Throughput Using Al-Powered Precise Train Traffic Control,Software,SIH25022,0,Transportation & Logistics
23,Ministry of Ayush,AyurSutra- Panchakarma Patient Management and therapy scheduling Software,Software,SIH25023,0,MedTech / BioTech / HealthTech
24,Ministry of Ayush,"Comprehensive Cloud-Based Practice Management & Nutrient Analysis Software for Ayurvedic Dietitians, Tailored for Ayurveda-Focused Diet Plans",Software,SIH25024,0,MedTech / BioTech / HealthTech
25,Ministry of Ayush,E tongue for Dravya identification,Hardware,SIH25025,0,MedTech / BioTech / HealthTech
26,Ministry of Ayush,Develop API code to integrate NAMASTE and or the International Classification of Diseases (ICD-11) via the Traditional Medicine Module 2 (TM2) into existing EMR systems that comply with Electronic Health Record (EHR) Standards for India.,Software,SIH25026,0,MedTech / BioTech / HealthTech
27,Ministry of Ayush,"Develop a blockchain-based system for botanical traceability of Ayurvedic herbs, including geo-tagging from the point of collection (farmers/wild collectors) to the final Ayurvedic formulation label.",Software,SIH25027,0,Blockchain & Cybersecurity
28,Government of Jharkhand,Smart Classroom & Timetable Scheduler,Software,SIH25028,0,Smart Education
29,Government of Jharkhand,Authenticity Validator for Academia,Software,SIH25029,0,Smart Education
30,Government of Jharkhand,Al-Based Crop Recommendation for Farmers,Software,SIH25030,0,"Agriculture, FoodTech & Rural Development"
31,Government of Jharkhand,Crowdsourced Civic lssue Reporting and Resolution System,Software,SIH25031,0,Clean & Green Technology
32,Government of Jharkhand,Development of a Smart Digital Platform to Promote Eco & Cultural Tourism in Jharkhand,Software,SIH25032,0,Travel & Tourism
33,Ministry of Corporate Affairs,Al-Based Smart Allocation Engine for PM Internship Scheme,Software,SIH25033,0,Smart Automation
34,Ministry of Corporate Affairs,Al-Based Internship Recommendation Engine for PM Internship Scheme,Software,SIH25034,0,Smart Education
35,Ministry of Corporate Affairs,Sentiment analysis of comments received through E-consultation module,Software,SIH25035,0,Miscellaneous
36,Ministry of Earth Sciences (MoES),Development of Sensor for Detection Of Microplastics,Hardware,SIH25036,0,Miscellaneous
37,Ministry of Earth Sciences (MoES),Development of a low-cost camera-based automated beach sand grain size mapping system,Hardware,SIH25037,0,Miscellaneous
38,Ministry of Earth Sciences (MoES),Blockchain-Based Blue Carbon Registry and MRV System,Software,SIH25038,0,Clean & Green Technology
39,Ministry of Earth Sciences (MoES),Integrated Platform for Crowdsourced Ocean Hazard Reporting and Social Media Analytics,Software,SIH25039,0,Disaster Management
40,Ministry of Earth Sciences (MoES),FloatChat - AI-Powered Conversational Interface for ARGO Ocean Data Discovery and Visualization,Software,SIH25040,0,Miscellaneous
41,Ministry of Earth Sciences (MoES),"AI-Driven Unified Data Platform for Oceanographic, Fisheries, and Molecular Biodiversity Insights",Software,SIH25041,0,Renewable / Sustainable Energy
42,Ministry of Earth Sciences (MoES),Identifying Taxonomy and Assessing Biodiversity from eDNA Datasets,Software,SIH25042,0,Miscellaneous
43,Ministry of Earth Sciences (MoES),Embedded Intelligent Microscopy System for Identification and Counting of Microscopic Marine Organisms,Hardware,SIH25043,0,Smart Automation
44,Government of Odisha,Al-Powered Crop Yield Prediction and Optimization,Software,SIH25044,0,"Agriculture, FoodTech & Rural Development"
45,Government of Odisha,Blockchain-Based Supply Chain Transparency for Agricultural Produce,Software,SIH25045,0,"Agriculture, FoodTech & Rural Development"
46,Government of Odisha,Smart Waste Segregation and Recycling System,Hardware,SIH25046,0,Clean & Green Technology
47,Government of Odisha,Disaster Response Drone for Remote Areas,Hardware,SIH25047,0,Robotics and Drones
48,Government of Odisha,Gamified Learning Platform for Rural Education,Software,SIH25048,0,Smart Education
49,Government of Odisha,Al-Driven Public Health Chatbot for Disease Awareness,Software,SIH25049,0,MedTech / BioTech / HealthTech
50,Government of Odisha,Smart Traffic Management Systern for Urban Congestion,Software,SIH25050,0,Transportation & Logistics
51,Government of Odisha,Renewable Energy Monitoring System for Microgrids,Hardware,SIH25051,0,Renewable / Sustainable Energy
52,Government of Odisha,AR-Based Cultural Heritage Preservation Platform,Software,SIH25052,0,Heritage & Culture
53,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Improved Onion storage technology for enhancing shelf life of onions,Hardware,SIH25053,0,"Agriculture, FoodTech & Rural Development"
54,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Automated High-Current Short-Circuit Test System for MCB to comply with IEC 60898-1:2015,Hardware,SIH25054,0,Smart Automation
55,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Automated Specimen Preparation System for testing of Cable samples as per IS 10810 and IS 7098.,Hardware,SIH25055,0,Miscellaneous
56,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",To explore new/altermative assaying methods to the fire assay method for testing of gold jewellery and artefacts through non-destructive testing,Hardware,SIH25056,0,Miscellaneous
57,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Automated Compliance Checker for Legal Metrology Declarations on E-Commerce Platforms,Hardware,SIH25057,0,Miscellaneous
58,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Detection and Prevention of Tampering in Weighing and Measuring instruments,Hardware,SIH25058,0,Miscellaneous
59,Ministry of Social Justice & Empowerment (MoSJE),Enhancing Student Awareness on difference between Aadhaar linked and Direct Beneficiary Transfer(DBT) enabled Aadhaar seeded bank account.,Software,SIH25059,0,Miscellaneous
60,Ministry of Social Justice & Empowerment (MoSJE),Real life solutions for Waste Management.,Software,SIH25060,0,Clean & Green Technology
61,Government of Sikkim,Digitize and Showcase Monasteries of Sikkim for Tourism and Cultural Preservation,Software,SIH25061,0,Travel & Tourism
62,Government of Sikkim,Implementation of Smart Agriculture for Efficient Cultivation in Hilly Regions,Hardware,SIH25062,0,"Agriculture, FoodTech & Rural Development"
63,Government of Kerala,Developing a cost effective solution for detecting the breakage of Low Voltage AC Distribution Over Head conductors,Hardware,SIH25063,0,Disaster Management
64,Government of Kerala,Improving the Renewable Energy hosting capacity in Distribution Feeders improving the Power quality of Distribution network during high RE injection,Hardware,SIH25064,0,Renewable / Sustainable Energy
65,Ministry of Jal Shakti,Designing and development of an application for on spot assessment of Roof Top Rain water harvesting and artificial recharge potential and size of the RTRWH and AR.,Software,SIH25065,0,Smart Automation
66,Ministry of Jal Shakti,Development of an Al-driven ChatBOT for INGRES as a virtuall assistant,Software,SIH25066,0,Smart Automation
67,Ministry of Jal Shakti,Proposal for Design and development of application or Heavy Metal Pollution indices,Software,SIH25067,0,Miscellaneous
68,Ministry of Jal Shakti,Real time Groundwater resource evaluation using DWLR data,Software,SIH25068,0,Miscellaneous
69,Ministry of Mines,Al-Driven Life Cycle Assessment (LCA) Tool for Advancing Circulanty and Sustainability in Metallurgy and Mining,Software,SIH25069,0,Miscellaneous
70,Ministry of Mines,Secure Data Wiping for Trustworthy IT Asset Recycling,Software,SIH25070,0,Miscellaneous
71,Ministry of Mines,Al-Based Rockfall Prediction and Alert System for Open-Pit Mines,Software,SIH25071,0,Disaster Management
72,Ministry of Mines,Design and Implementation of Solar-Powered Dewatering in Mining Operations.,Hardware,SIH25072,0,Renewable / Sustainable Energy
73,Ministry of Youth Affairs and Sports,Al-Powered Mobile Platform for Democratizing Sports Talent Assessment,Software,SIH25073,0,Fitness & Sports
74,Government of Kerala,AI-Powered Personal Farming Assistant for Kerala Farmers,Software,SIH25074,0,"Agriculture, FoodTech & Rural Development"
75,Government of Kerala,Gamified Platform to Promote Sustainable Farming Practices,Software,SIH25075,0,"Agriculture, FoodTech & Rural Development"
76,Government of Kerala,AI-Based Farmer Query Support and Advisory System,Software,SIH25076,0,"Agriculture, FoodTech & Rural Development"
77,Government of Kerala,A hardware that can detect and prevent unauthorized use of electric fences,Hardware,SIH25077,0,Smart Automation
78,Government of Kerala,Software other than a circuit breaker that can be used to detect and turn off LT lines when the line breaks,Software,SIH25079,0,Disaster Management
79,Government of Kerala,Document Overload at Kochi Metro Rail Limited (KMRL)-An automated solution,Software,SIH25080,0,Smart Automation
80,Government of Kerala,AI-Driven Train Induction Planning & Scheduling for Kochi Metro Rail Limited (KMRL),Software,SIH25081,0,Smart Automation
81,Government of Kerala,Development of a travel related software app that can be installed on mobile phones that could capture trip related information,Software,SIH25082,0,Travel & Tourism
82,Government of Kerala,Digital Health Record Management System for migrant workers in Kerala aligned with sustainable development goals.,Software,SIH25083,0,MedTech / BioTech / HealthTech
83,Government of Kerala,Earthquake stabilised dialysis system for patient safety during seismic events.,Hardware,SIH25084,0,Disaster Management
84,Government of Kerala,Solution for NON-REVENUE LOSS IN WATER SUPPLY Solution to improve AWARENESS IN WATER CONSERVATION TREATMENT OF WASTE WATER AND REUSE FOR DOMESTIC PURPOSES,Hardware,SIH25085,0,Miscellaneous
85,Government of Kerala,GREY WATER MANAGEMENT AND REUSE WET LAND MANAGEMENT WATER CONSERVATION,Hardware,SIH25090,0,Clean & Green Technology
86,Government of Jammu and Kashmir,AI-Based Timetable Generation System aligned with NEP 2020 for Multidisciplinary Education Structures,Software,SIH25091,0,Smart Automation
87,Government of Jammu and Kashmir,Development of a Digital Mental Health and Psychological Support System for Students in Higher Education,Software,SIH25092,0,MedTech / BioTech / HealthTech
88,Government of Jammu and Kashmir,Centralised Digital Platform for Comprehensive student activity record in HEIs,Software,SIH25093,0,Smart Education
89,Government of Jammu and Kashmir,One-Stop Personalized Career & Education Advisor,Software,SIH25094,0,Smart Education
90,Autodesk,"Research and redesign a sport equipment commonly found in sport industry and utilize Fusion software to reimagine its design. Students can use Fusion Features such as Generative Design, Topology Optimization, Additive Build etc. The redesigned component should showcase innovation, enhanced functionality, and improved efficiency, all while being optimized for 3D printing.",Hardware,SIH25095,0,Smart Education
91,Autodesk,"• Students are supposed to use Fusion software to generate NC code with machine details & tool library for any industrial component. • Students should possess technical skills in areas such as CAD/CAM software, G-code programming, toolpath optimization, and machining fundamentals. Additionally, their project ideas should demonstrate a viable solution to a real-world problem, ensuring feasibility and practicality in implementation.",Hardware,SIH25096,0,Smart Education
92,Autodesk,Research and develop a design on autonomous small precision focused machine for planting crops or weeding.,Software,SIH25097,0,Smart Education
93,Autodesk,"Students are tasked with designing a 4-story commercial office building using Revit Architecture and Revit Structure , ensuring effective integration between architectural and structural models in a BIM environment.(The size of the plot can be assumed by the students, all the dimensions wherever necessary can be assumed by students in mm units.)",Software,SIH25098,0,Smart Education
94,MathWorks India Pvt. Ltd.,"AI-powered monitoring of crop health, soil condition, and pest risks using multispectral/hyperspectral imaging and sensor data.",Software,SIH25099,0,"Agriculture, FoodTech & Rural Development"
95,MathWorks India Pvt. Ltd.,Accelerating High-Fidelity Road Network Modeling for Indian Traffic Simulations.,Software,SIH25100,0,Transportation & Logistics
96,Government of Rajasthan,Remote classroom for rural colleges,Software,SIH25101,0,Smart Education
97,Government of Rajasthan,AI-based drop-out prediction and counseling system,Software,SIH25102,0,Smart Automation
98,Government of Rajasthan,ERP-based Integrated Student Management system,Software,SIH25103,0,Smart Automation
99,Government of Rajasthan,Language Agnostic Chatbot,Software,SIH25104,0,Smart Education
100,AICTE,"Develop computer programs (in any language, preferably Python) to identify the design principles behind the Kolam designs and recreate the kolams.",Software,SIH12507,0,Heritage & Culture
101,Ministry of Tribal Affairs(MoTA),"Development of AI-powered FRA Atlas and WebGIS-based Decision Support System (DSS) for Integrated Monitoring of Forest Rights Act (FRA) Implementation. (States to be concentrated: Madhya Pradesh, Tripura , Odisha, Telangana)",Software,SIH12508,0,Miscellaneous
102,AICTE,Student Innovation,Hardware,SIH25109,0,"Agriculture, FoodTech & Rural Development"
103,AICTE,Student Innovation,Hardware,SIH25110,0,Blockchain & Cybersecurity
104,AICTE,Student Innovation,Hardware,SIH25111,0,Clean & Green Technology
105,AICTE,Student Innovation,Hardware,SIH25112,0,Fitness & Sports
106,AICTE,Student Innovation,Hardware,SIH25113,0,Heritage & Culture
107,AICTE,Student Innovation,Hardware,SIH25114,0,MedTech / BioTech / HealthTech
108,AICTE,Student Innovation,Hardware,SIH25115,0,Miscellaneous
109,AICTE,Student Innovation,Hardware,SIH25116,0,Renewable / Sustainable Energy
110,AICTE,Student Innovation,Hardware,SIH25117,0,Robotics and Drones
111,AICTE,Student Innovation,Hardware,SIH25118,0,Smart Automation
112,AICTE,Student Innovation,Hardware,SIH25119,0,Smart Vehicles
113,AICTE,Student Innovation,Hardware,SIH25120,0,Travel & Tourism
114,AICTE,Student Innovation,Hardware,SIH25121,0,Transportation & Logistics
115,AICTE,Student Innovation,Hardware,SIH25122,0,Disaster Management
116,AICTE,Student Innovation,Hardware,SIH25123,0,Smart Education
117,AICTE,Student Innovation,Hardware,SIH25124,0,Toys & Games
118,AICTE,Student Innovation,Hardware,SIH25125,0,Space Technology
119,AICTE,Student Innovation,Software,SIH25126,0,"Agriculture, FoodTech & Rural Development"
120,AICTE,Student Innovation,Software,SIH25127,0,Blockchain & Cybersecurity
121,AICTE,Student Innovation,Software,SIH25128,0,Clean & Green Technology
122,AICTE,Student Innovation,Software,SIH25129,0,Fitness & Sports
123,AICTE,Student Innovation,Software,SIH25130,0,Heritage & Culture
124,AICTE,Student Innovation,Software,SIH25131,0,MedTech / BioTech / HealthTech
125,AICTE,Student Innovation,Software,SIH25132,0,Miscellaneous
126,AICTE,Student Innovation,Software,SIH25133,0,Renewable / Sustainable Energy
127,AICTE,Student Innovation,Software,SIH25134,0,Robotics and Drones
128,AICTE,Student Innovation,Software,SIH25135,0,Smart Automation
129,AICTE,Student Innovation,Software,SIH25136,0,Smart Vehicles
130,AICTE,Student Innovation,Software,SIH25137,0,Travel & Tourism
131,AICTE,Student Innovation,Software,SIH25138,0,Transportation & Logistics
132,AICTE,Student Innovation,Software,SIH25139,0,Disaster Management
133,AICTE,Student Innovation,Software,SIH25140,0,Smart Education
134,AICTE,Student Innovation,Software,SIH25141,0,Toys & Games
135,AICTE,Student Innovation,Software,SIH25142,0,Space Technology
