Problem Statement ID,Theme
25004,Agriculture
25005,Agriculture
25006,Agriculture
25007,Agriculture
25010,Agriculture
25015,Agriculture
25030,Agriculture
25044,Agriculture
25045,Agriculture
25053,Agriculture
25062,Agriculture
25074,Agriculture
25075,Agriculture
25076,Agriculture
25099,Agriculture
25027,Blockchain & Cybersecurity
25014,Clean & Green Technology
25031,Clean & Green Technology
25038,Clean & Green Technology
25046,Clean & Green Technology
25060,Clean & Green Technology
25090,Clean & Green Technology
25008,Disaster Management
25039,Disaster Management
25063,Disaster Management
25071,Disaster Management
25079,Disaster Management
25084,Disaster Management
25073,Fitness & Sports
25052,Heritage & Culture
25107,Heritage & Culture
25001,MedTech / BioTech / HealthTech
25018,MedTech / BioTech / HealthTech
25023,MedTech / BioTech / HealthTech
25024,MedTech / BioTech / HealthTech
25025,MedTech / BioTech / HealthTech
25026,MedTech / BioTech / HealthTech
25049,MedTech / BioTech / HealthTech
25083,MedTech / BioTech / HealthTech
25092,MedTech / BioTech / HealthTech
25035,Miscellaneous
25036,Miscellaneous
25037,Miscellaneous
25040,Miscellaneous
25042,Miscellaneous
25055,Miscellaneous
25056,Miscellaneous
25057,Miscellaneous
25058,Miscellaneous
25059,Miscellaneous
25067,Miscellaneous
25068,Miscellaneous
25069,Miscellaneous
25070,Miscellaneous
25085,Miscellaneous
25108,Miscellaneous
25041,Renewable / Sustainable Energy
25051,Renewable / Sustainable Energy
25064,Renewable / Sustainable Energy
25072,Renewable / Sustainable Energy
25047,Robotics and Drones
25020,Smart Automation
25033,Smart Automation
25043,Smart Automation
25054,Smart Automation
25065,Smart Automation
25066,Smart Automation
25077,Smart Automation
25080,Smart Automation
25081,Smart Automation
25091,Smart Automation
25102,Smart Automation
25103,Smart Automation
25009,Smart Education
25011,Smart Education
25012,Smart Education
25016,Smart Education
25017,Smart Education
25019,Smart Education
25028,Smart Education
25029,Smart Education
25034,Smart Education
25048,Smart Education
25093,Smart Education
25094,Smart Education
25095,Smart Education
25096,Smart Education
25097,Smart Education
25098,Smart Education
25101,Smart Education
25104,Smart Education
25003,Transportation & Logistics
25013,Transportation & Logistics
25021,Transportation & Logistics
25022,Transportation & Logistics
25050,Transportation & Logistics
25100,Transportation & Logistics
25002,Travel & Tourism
25032,Travel & Tourism
25061,Travel & Tourism
25082,Travel & Tourism